Seed,Prop. class 1,Sel. bias,Method,Test set,pr,AUPRC,p.50,p.100,Bias effect
8,0.05,0.5,traditional,future,0.10801873794433728,0.19796720474385848,0.34,0.35,1.1632500244244774
20,0.05,0.95,traditional,future,0.08480443059882312,0.30781981696907756,0.52,0.5,0.9301604021750713
5,0.05,0.95,Semi-supervised,future,0.373134328358209,0.2781305817052116,0.54,0.42,0.8804627183768774
20,0.5,0.5,Self_Learning,future,0.7704510108864697,0.760573298583536,0.96,0.96,1.648897067341936
30,0.05,0.95,Veenman,future,0.66,0.4134509486213915,0.66,0.62,0.8996600528594578
41,0.5,0.5,Label_spreading,future,1.0,0.8551353315417972,1.0,1.0,2.1961419047094104
40,0.05,0.95,sample,,,,,,0.054249456404665865
18,0.5,0.0,Self_Learning,future,0.7338174273858921,0.8050855922066726,1.0,0.99,1.6413637802702563
25,0.5,0.5,Label_Propagation,future,0.0,0.7811376567947834,0.94,0.96,2.2457150611352583
17,0.5,0.95,Label_Propagation,future,0.5,0.7201983290523706,0.98,0.96,2.344494264568378
5,0.05,0.95,Self_Learning,future,0.07246807246807246,0.24938620008695458,0.52,0.41,1.130025239930536
24,0.05,0.0,sample,,,,,,0.804072600627914
42,0.05,0.0,Semi-supervised,future,0.24489795918367346,0.1914942073408057,0.4,0.37,1.4679184094825868
39,0.5,0.0,Semi-supervised,future,0.8628841607565012,0.7751778134229084,0.98,0.95,1.6483124312184387
25,0.5,0.95,traditional,future,0.5755175767680978,0.6869523702968376,0.86,0.88,1.7625263310520805
17,0.5,0.5,traditional,future,0.8310280373831775,0.7958794300079921,0.98,0.99,1.9104339539248327
16,0.5,0.5,Label_spreading,future,1.0,0.8174311025185796,1.0,0.99,2.16155016117508
12,0.05,0.5,Veenman,future,0.5,0.33690875362073713,0.66,0.51,1.1036709554856496
18,0.05,0.0,traditional,future,0.5463917525773195,0.27357966432519687,0.6,0.54,1.3392026549615133
17,0.05,0.5,Label_spreading,future,0.1496919173613628,0.3290447563890316,0.64,0.55,1.0193439212827111
29,0.05,0.5,sample,,,,,,0.45333500503601165
40,0.5,0.95,Label_Propagation,future,0.4999,0.7404244618855443,0.96,0.92,2.343318332325141
19,0.5,0.95,Veenman,future,0.8165997322623829,0.6669758790999938,0.98,0.97,1.854783802127449
17,0.05,0.95,sample,,,,,,0.03770748798107765
22,0.5,0.95,sample,,,,,,1.4726652939276075
15,0.05,0.0,Semi-supervised,future,0.5,0.14780386490856887,0.28,0.27,1.5775985928604792
3,0.5,0.5,Semi-supervised,future,0.8201284796573876,0.6340167807794413,0.9,0.93,2.046322851523049
27,0.05,0.95,Label_Propagation,future,0.0501,0.4305218958111345,0.74,0.73,1.1818748330042257
29,0.05,0.95,Semi-supervised,future,0.5,0.3639607117148305,0.58,0.53,0.8471929528496119
19,0.5,0.0,Semi-supervised,future,0.9222343921139102,0.7970304002220467,1.0,0.98,1.6425013330800164
22,0.5,0.95,Self_Learning,future,0.6596170970614426,0.6943779207890077,0.88,0.86,1.632420153893799
29,0.05,0.5,Semi-supervised,future,0.5625,0.30788892199627416,0.58,0.56,0.8578284641448428
38,0.5,0.0,Self_Learning,future,0.6368813825608798,0.7000271417092838,0.96,0.9,1.6167178289105617
26,0.05,0.0,Self_Learning,future,0.0,0.2014514307406643,0.48,0.42,1.196252448906798
22,0.5,0.95,Semi-supervised,future,0.8010899182561307,0.6176188299339601,0.94,0.91,1.9531709860385866
9,0.5,0.95,Label_Propagation,future,0.5,0.7581591377319603,1.0,0.99,2.3149870605457084
10,0.05,0.95,Veenman,future,0.8260869565217391,0.41382765571456315,0.86,0.73,0.8910902439676816
23,0.5,0.5,Veenman,future,0.8483606557377049,0.6533114912069673,0.92,0.9,2.151400935238284
9,0.05,0.0,Label_spreading,future,0.0,0.39900648186896487,0.7,0.61,1.3782700443047669
32,0.05,0.0,Label_spreading,future,0.0,0.41390948023808016,0.76,0.71,1.3194404484438513
29,0.05,0.5,Self_Learning,future,0.31,0.25735226274304407,0.44,0.39,0.9087062216324876
35,0.05,0.0,Semi-supervised,future,0.3142857142857143,0.17095810594496774,0.38,0.29,1.102301009209158
29,0.05,0.95,Label_spreading,future,0.05,0.42243457626440584,0.68,0.67,1.2935973424380278
39,0.5,0.95,Veenman,future,0.8619329388560157,0.6173046061329406,0.9,0.92,1.743545651808002
